free env bit hready, hburst0, hburst1, hbusreq0, hlock0, hbusreq1, hlock1, hbusreq2, hlock2, hbusreq3, hlock3, hbusreq4, hlock4, hbusreq5, hlock5, hbusreq6, hlock6, hbusreq7, hlock7, hbusreq8, hlock8, hbusreq9, hlock9, hbusreq10, hlock10, hbusreq11, hlock11, hbusreq12, hlock12, hbusreq13, hlock13, hbusreq14, hlock14, hbusreq15, hlock15, hbusreq16, hlock16, hbusreq17, hlock17, hbusreq18, hlock18, hbusreq19, hlock19, hbusreq20, hlock20, hbusreq21, hlock21, hbusreq22, hlock22, hbusreq23, hlock23, hbusreq24, hlock24, hbusreq25, hlock25, hbusreq26, hlock26, hbusreq27, hlock27, hbusreq28, hlock28, hbusreq29, hlock29, hbusreq30, hlock30, hbusreq31, hlock31, hbusreq32, hlock32, hbusreq33, hlock33, hbusreq34, hlock34, hbusreq35, hlock35, hbusreq36, hlock36, hbusreq37, hlock37, hbusreq38, hlock38, hbusreq39, hlock39, hbusreq40, hlock40, hbusreq41, hlock41, hbusreq42, hlock42, hbusreq43, hlock43, hbusreq44, hlock44, hbusreq45, hlock45, hbusreq46, hlock46, hbusreq47, hlock47, hbusreq48, hlock48, hbusreq49, hlock49, hbusreq50, hlock50, hbusreq51, hlock51, hbusreq52, hlock52, hbusreq53, hlock53, hbusreq54, hlock54, hbusreq55, hlock55, hbusreq56, hlock56, hbusreq57, hlock57, hbusreq58, hlock58, hbusreq59, hlock59, hbusreq60, hlock60, hbusreq61, hlock61, hbusreq62, hlock62, hbusreq63, hlock63, hbusreq64, hlock64, hbusreq65, hlock65, hbusreq66, hlock66, hbusreq67, hlock67, hbusreq68, hlock68, hbusreq69, hlock69, hbusreq70, hlock70, hbusreq71, hlock71, hbusreq72, hlock72, hbusreq73, hlock73, hbusreq74, hlock74, hbusreq75, hlock75, hbusreq76, hlock76, hbusreq77, hlock77, hbusreq78, hlock78, hbusreq79, hlock79, hbusreq80, hlock80;
free sys bit hmaster0, hmaster1, hmaster2, hmaster3, hmaster4, hmaster5, hmaster6, hmastlock, start, locked, decide, hgrant0, busreq, stateA1_0, stateA1_1, stateG2, stateG3_0, stateG3_1, stateG3_2, hgrant1, hgrant2, hgrant3, hgrant4, hgrant5, hgrant6, hgrant7, hgrant8, hgrant9, hgrant10, hgrant11, hgrant12, hgrant13, hgrant14, hgrant15, hgrant16, hgrant17, hgrant18, hgrant19, hgrant20, hgrant21, hgrant22, hgrant23, hgrant24, hgrant25, hgrant26, hgrant27, hgrant28, hgrant29, hgrant30, hgrant31, hgrant32, hgrant33, hgrant34, hgrant35, hgrant36, hgrant37, hgrant38, hgrant39, hgrant40, hgrant41, hgrant42, hgrant43, hgrant44, hgrant45, hgrant46, hgrant47, hgrant48, hgrant49, hgrant50, hgrant51, hgrant52, hgrant53, hgrant54, hgrant55, hgrant56, hgrant57, hgrant58, hgrant59, hgrant60, hgrant61, hgrant62, hgrant63, hgrant64, hgrant65, hgrant66, hgrant67, hgrant68, hgrant69, hgrant70, hgrant71, hgrant72, hgrant73, hgrant74, hgrant75, hgrant76, hgrant77, hgrant78, hgrant79, hgrant80, stateG10_1, stateG10_2, stateG10_3, stateG10_4, stateG10_5, stateG10_6, stateG10_7, stateG10_8, stateG10_9, stateG10_10, stateG10_11, stateG10_12, stateG10_13, stateG10_14, stateG10_15, stateG10_16, stateG10_17, stateG10_18, stateG10_19, stateG10_20, stateG10_21, stateG10_22, stateG10_23, stateG10_24, stateG10_25, stateG10_26, stateG10_27, stateG10_28, stateG10_29, stateG10_30, stateG10_31, stateG10_32, stateG10_33, stateG10_34, stateG10_35, stateG10_36, stateG10_37, stateG10_38, stateG10_39, stateG10_40, stateG10_41, stateG10_42, stateG10_43, stateG10_44, stateG10_45, stateG10_46, stateG10_47, stateG10_48, stateG10_49, stateG10_50, stateG10_51, stateG10_52, stateG10_53, stateG10_54, stateG10_55, stateG10_56, stateG10_57, stateG10_58, stateG10_59, stateG10_60, stateG10_61, stateG10_62, stateG10_63, stateG10_64, stateG10_65, stateG10_66, stateG10_67, stateG10_68, stateG10_69, stateG10_70, stateG10_71, stateG10_72, stateG10_73, stateG10_74, stateG10_75, stateG10_76, stateG10_77, stateG10_78, stateG10_79, stateG10_80;
assume ltl {
((((((((hready == 0) 
(((((((((([]((hmaster0 == 0) && (hmaster1 == 0) && (hmaster2 == 0) && (hmaster3 == 0) && (hmaster4 == 0) && (hmaster5 == 0) && (hmaster6 == 0) -> (hbusreq0 == 0 <-> busreq==0))) && ([]((hmaster0 == 1) && (hmaster1 == 0) && (hmaster2 == 0) && (hmaster3 == 0) && (hmaster4 == 0) && (hmaster5 == 0) && (hmaster6 == 0) -> (hbusreq1 == 0 <-> busreq==0)))) && (([]((hmaster0 == 0) && (hmaster1 == 1) && (hmaster2 == 0) && (hmaster3 == 0) && (hmaster4 == 0) && (hmaster5 == 0) && (hmaster6 == 0) -> (hbusreq2 == 0 <-> busreq==0))) && ([]((hmaster0 == 1) && (hmaster1 == 1) && (hmaster2 == 0) && (hmaster3 == 0) && (hmaster4 == 0) && (hmaster5 == 0) && (hmaster6 == 0) -> (hbusreq3 == 0 <-> busreq==0))))) && ((([]((hmaster0 == 0) && (hmaster1 == 0) && (hmaster2 == 1) && (hmaster3 == 0) && (hmaster4 == 0) && (hmaster5 == 0) && (hmaster6 == 0) -> (hbusreq4 == 0 <-> busreq==0))) && ([]((hmaster0 == 1) && (hmaster1 == 0) && (hmaster2 == 1) && (hmaster3 == 0) && (hmaster4 == 0) && (hmaster5 == 0) && (hmaster6 == 0) -> (hbusreq5 == 0 <-> busreq==0)))) && (([]((hmaster0 == 0) && (hmaster1 == 1) && (hmaster2 == 1) && (hmaster3 == 0) && (hmaster4 == 0) && (hmaster5 == 0) && (hmaster6 == 0) -> (hbusreq6 == 0 <-> busreq==0))) && ([]((hmaster0 == 1) && (hmaster1 == 1) && (hmaster2 == 1) && (hmaster3 == 0) && (hmaster4 == 0) && (hmaster5 == 0) && (hmaster6 == 0) -> (hbusreq7 == 0 <-> busreq==0)))))) && (((([]((hmaster0 == 0) && (hmaster1 == 0) && (hmaster2 == 0) && (hmaster3 == 1) && (hmaster4 == 0) && (hmaster5 == 0) && (hmaster6 == 0) -> (hbusreq8 == 0 <-> busreq==0))) && ([]((hmaster0 == 1) && (hmaster1 == 0) && (hmaster2 == 0) && (hmaster3 == 1) && (hmaster4 == 0) && (hmaster5 == 0) && (hmaster6 == 0) -> (hbusreq9 == 0 <-> busreq==0)))) && (([]((hmaster0 == 0) && (hmaster1 == 1) && (hmaster2 == 0) && (hmaster3 == 1) && (hmaster4 == 0) && (hmaster5 == 0) && (hmaster6 == 0) -> (hbusreq10 == 0 <-> busreq==0))) && ([]((hmaster0 == 1) && (hmaster1 == 1) && (hmaster2 == 0) && (hmaster3 == 1) && (hmaster4 == 0) && (hmaster5 == 0) && (hmaster6 == 0) -> (hbusreq11 == 0 <-> busreq==0))))) && ((([]((hmaster0 == 0) && (hmaster1 == 0) && (hmaster2 == 1) && (hmaster3 == 1) && (hmaster4 == 0) && (hmaster5 == 0) && (hmaster6 == 0) -> (hbusreq12 == 0 <-> busreq==0))) && ([]((hmaster0 == 1) && (hmaster1 == 0) && (hmaster2 == 1) && (hmaster3 == 1) && (hmaster4 == 0) && (hmaster5 == 0) && (hmaster6 == 0) -> (hbusreq13 == 0 <-> busreq==0)))) && (([]((hmaster0 == 0) && (hmaster1 == 1) && (hmaster2 == 1) && (hmaster3 == 1) && (hmaster4 == 0) && (hmaster5 == 0) && (hmaster6 == 0) -> (hbusreq14 == 0 <-> busreq==0))) && ([]((hmaster0 == 1) && (hmaster1 == 1) && (hmaster2 == 1) && (hmaster3 == 1) && (hmaster4 == 0) && (hmaster5 == 0) && (hmaster6 == 0) -> (hbusreq15 == 0 <-> busreq==0))))))) && ((((([]((hmaster0 == 0) && (hmaster1 == 0) && (hmaster2 == 0) && (hmaster3 == 0) && (hmaster4 == 1) && (hmaster5 == 0) && (hmaster6 == 0) -> (hbusreq16 == 0 <-> busreq==0))) && ([]((hmaster0 == 1) && (hmaster1 == 0) && (hmaster2 == 0) && (hmaster3 == 0) && (hmaster4 == 1) && (hmaster5 == 0) && (hmaster6 == 0) -> (hbusreq17 == 0 <-> busreq==0)))) && (([]((hmaster0 == 0) && (hmaster1 == 1) && (hmaster2 == 0) && (hmaster3 == 0) && (hmaster4 == 1) && (hmaster5 == 0) && (hmaster6 == 0) -> (hbusreq18 == 0 <-> busreq==0))) && ([]((hmaster0 == 1) && (hmaster1 == 1) && (hmaster2 == 0) && (hmaster3 == 0) && (hmaster4 == 1) && (hmaster5 == 0) && (hmaster6 == 0) -> (hbusreq19 == 0 <-> busreq==0))))) && ((([]((hmaster0 == 0) && (hmaster1 == 0) && (hmaster2 == 1) && (hmaster3 == 0) && (hmaster4 == 1) && (hmaster5 == 0) && (hmaster6 == 0) -> (hbusreq20 == 0 <-> busreq==0))) && ([]((hmaster0 == 1) && (hmaster1 == 0) && (hmaster2 == 1) && (hmaster3 == 0) && (hmaster4 == 1) && (hmaster5 == 0) && (hmaster6 == 0) -> (hbusreq21 == 0 <-> busreq==0)))) && (([]((hmaster0 == 0) && (hmaster1 == 1) && (hmaster2 == 1) && (hmaster3 == 0) && (hmaster4 == 1) && (hmaster5 == 0) && (hmaster6 == 0) -> (hbusreq22 == 0 <-> busreq==0))) && ([]((hmaster0 == 1) && (hmaster1 == 1) && (hmaster2 == 1) && (hmaster3 == 0) && (hmaster4 == 1) && (hmaster5 == 0) && (hmaster6 == 0) -> (hbusreq23 == 0 <-> busreq==0)))))) && (((([]((hmaster0 == 0) && (hmaster1 == 0) && (hmaster2 == 0) && (hmaster3 == 1) && (hmaster4 == 1) && (hmaster5 == 0) && (hmaster6 == 0) -> (hbusreq24 == 0 <-> busreq==0))) && ([]((hmaster0 == 1) && (hmaster1 == 0) && (hmaster2 == 0) && (hmaster3 == 1) && (hmaster4 == 1) && (hmaster5 == 0) && (hmaster6 == 0) -> (hbusreq25 == 0 <-> busreq==0)))) && (([]((hmaster0 == 0) && (hmaster1 == 1) && (hmaster2 == 0) && (hmaster3 == 1) && (hmaster4 == 1) && (hmaster5 == 0) && (hmaster6 == 0) -> (hbusreq26 == 0 <-> busreq==0))) && ([]((hmaster0 == 1) && (hmaster1 == 1) && (hmaster2 == 0) && (hmaster3 == 1) && (hmaster4 == 1) && (hmaster5 == 0) && (hmaster6 == 0) -> (hbusreq27 == 0 <-> busreq==0))))) && ((([]((hmaster0 == 0) && (hmaster1 == 0) && (hmaster2 == 1) && (hmaster3 == 1) && (hmaster4 == 1) && (hmaster5 == 0) && (hmaster6 == 0) -> (hbusreq28 == 0 <-> busreq==0))) && ([]((hmaster0 == 1) && (hmaster1 == 0) && (hmaster2 == 1) && (hmaster3 == 1) && (hmaster4 == 1) && (hmaster5 == 0) && (hmaster6 == 0) -> (hbusreq29 == 0 <-> busreq==0)))) && (([]((hmaster0 == 0) && (hmaster1 == 1) && (hmaster2 == 1) && (hmaster3 == 1) && (hmaster4 == 1) && (hmaster5 == 0) && (hmaster6 == 0) -> (hbusreq30 == 0 <-> busreq==0))) && ([]((hmaster0 == 1) && (hmaster1 == 1) && (hmaster2 == 1) && (hmaster3 == 1) && (hmaster4 == 1) && (hmaster5 == 0) && (hmaster6 == 0) -> (hbusreq31 == 0 <-> busreq==0)))))))) && (((((([]((hmaster0 == 0) && (hmaster1 == 0) && (hmaster2 == 0) && (hmaster3 == 0) && (hmaster4 == 0) && (hmaster5 == 1) && (hmaster6 == 0) -> (hbusreq32 == 0 <-> busreq==0))) && ([]((hmaster0 == 1) && (hmaster1 == 0) && (hmaster2 == 0) && (hmaster3 == 0) && (hmaster4 == 0) && (hmaster5 == 1) && (hmaster6 == 0) -> (hbusreq33 == 0 <-> busreq==0)))) && (([]((hmaster0 == 0) && (hmaster1 == 1) && (hmaster2 == 0) && (hmaster3 == 0) && (hmaster4 == 0) && (hmaster5 == 1) && (hmaster6 == 0) -> (hbusreq34 == 0 <-> busreq==0))) && ([]((hmaster0 == 1) && (hmaster1 == 1) && (hmaster2 == 0) && (hmaster3 == 0) && (hmaster4 == 0) && (hmaster5 == 1) && (hmaster6 == 0) -> (hbusreq35 == 0 <-> busreq==0))))) && ((([]((hmaster0 == 0) && (hmaster1 == 0) && (hmaster2 == 1) && (hmaster3 == 0) && (hmaster4 == 0) && (hmaster5 == 1) && (hmaster6 == 0) -> (hbusreq36 == 0 <-> busreq==0))) && ([]((hmaster0 == 1) && (hmaster1 == 0) && (hmaster2 == 1) && (hmaster3 == 0) && (hmaster4 == 0) && (hmaster5 == 1) && (hmaster6 == 0) -> (hbusreq37 == 0 <-> busreq==0)))) && (([]((hmaster0 == 0) && (hmaster1 == 1) && (hmaster2 == 1) && (hmaster3 == 0) && (hmaster4 == 0) && (hmaster5 == 1) && (hmaster6 == 0) -> (hbusreq38 == 0 <-> busreq==0))) && ([]((hmaster0 == 1) && (hmaster1 == 1) && (hmaster2 == 1) && (hmaster3 == 0) && (hmaster4 == 0) && (hmaster5 == 1) && (hmaster6 == 0) -> (hbusreq39 == 0 <-> busreq==0)))))) && (((([]((hmaster0 == 0) && (hmaster1 == 0) && (hmaster2 == 0) && (hmaster3 == 1) && (hmaster4 == 0) && (hmaster5 == 1) && (hmaster6 == 0) -> (hbusreq40 == 0 <-> busreq==0))) && ([]((hmaster0 == 1) && (hmaster1 == 0) && (hmaster2 == 0) && (hmaster3 == 1) && (hmaster4 == 0) && (hmaster5 == 1) && (hmaster6 == 0) -> (hbusreq41 == 0 <-> busreq==0)))) && (([]((hmaster0 == 0) && (hmaster1 == 1) && (hmaster2 == 0) && (hmaster3 == 1) && (hmaster4 == 0) && (hmaster5 == 1) && (hmaster6 == 0) -> (hbusreq42 == 0 <-> busreq==0))) && ([]((hmaster0 == 1) && (hmaster1 == 1) && (hmaster2 == 0) && (hmaster3 == 1) && (hmaster4 == 0) && (hmaster5 == 1) && (hmaster6 == 0) -> (hbusreq43 == 0 <-> busreq==0))))) && ((([]((hmaster0 == 0) && (hmaster1 == 0) && (hmaster2 == 1) && (hmaster3 == 1) && (hmaster4 == 0) && (hmaster5 == 1) && (hmaster6 == 0) -> (hbusreq44 == 0 <-> busreq==0))) && ([]((hmaster0 == 1) && (hmaster1 == 0) && (hmaster2 == 1) && (hmaster3 == 1) && (hmaster4 == 0) && (hmaster5 == 1) && (hmaster6 == 0) -> (hbusreq45 == 0 <-> busreq==0)))) && (([]((hmaster0 == 0) && (hmaster1 == 1) && (hmaster2 == 1) && (hmaster3 == 1) && (hmaster4 == 0) && (hmaster5 == 1) && (hmaster6 == 0) -> (hbusreq46 == 0 <-> busreq==0))) && ([]((hmaster0 == 1) && (hmaster1 == 1) && (hmaster2 == 1) && (hmaster3 == 1) && (hmaster4 == 0) && (hmaster5 == 1) && (hmaster6 == 0) -> (hbusreq47 == 0 <-> busreq==0))))))) && ((((([]((hmaster0 == 0) && (hmaster1 == 0) && (hmaster2 == 0) && (hmaster3 == 0) && (hmaster4 == 1) && (hmaster5 == 1) && (hmaster6 == 0) -> (hbusreq48 == 0 <-> busreq==0))) && ([]((hmaster0 == 1) && (hmaster1 == 0) && (hmaster2 == 0) && (hmaster3 == 0) && (hmaster4 == 1) && (hmaster5 == 1) && (hmaster6 == 0) -> (hbusreq49 == 0 <-> busreq==0)))) && (([]((hmaster0 == 0) && (hmaster1 == 1) && (hmaster2 == 0) && (hmaster3 == 0) && (hmaster4 == 1) && (hmaster5 == 1) && (hmaster6 == 0) -> (hbusreq50 == 0 <-> busreq==0))) && ([]((hmaster0 == 1) && (hmaster1 == 1) && (hmaster2 == 0) && (hmaster3 == 0) && (hmaster4 == 1) && (hmaster5 == 1) && (hmaster6 == 0) -> (hbusreq51 == 0 <-> busreq==0))))) && ((([]((hmaster0 == 0) && (hmaster1 == 0) && (hmaster2 == 1) && (hmaster3 == 0) && (hmaster4 == 1) && (hmaster5 == 1) && (hmaster6 == 0) -> (hbusreq52 == 0 <-> busreq==0))) && ([]((hmaster0 == 1) && (hmaster1 == 0) && (hmaster2 == 1) && (hmaster3 == 0) && (hmaster4 == 1) && (hmaster5 == 1) && (hmaster6 == 0) -> (hbusreq53 == 0 <-> busreq==0)))) && (([]((hmaster0 == 0) && (hmaster1 == 1) && (hmaster2 == 1) && (hmaster3 == 0) && (hmaster4 == 1) && (hmaster5 == 1) && (hmaster6 == 0) -> (hbusreq54 == 0 <-> busreq==0))) && ([]((hmaster0 == 1) && (hmaster1 == 1) && (hmaster2 == 1) && (hmaster3 == 0) && (hmaster4 == 1) && (hmaster5 == 1) && (hmaster6 == 0) -> (hbusreq55 == 0 <-> busreq==0)))))) && (((([]((hmaster0 == 0) && (hmaster1 == 0) && (hmaster2 == 0) && (hmaster3 == 1) && (hmaster4 == 1) && (hmaster5 == 1) && (hmaster6 == 0) -> (hbusreq56 == 0 <-> busreq==0))) && ([]((hmaster0 == 1) && (hmaster1 == 0) && (hmaster2 == 0) && (hmaster3 == 1) && (hmaster4 == 1) && (hmaster5 == 1) && (hmaster6 == 0) -> (hbusreq57 == 0 <-> busreq==0)))) && (([]((hmaster0 == 0) && (hmaster1 == 1) && (hmaster2 == 0) && (hmaster3 == 1) && (hmaster4 == 1) && (hmaster5 == 1) && (hmaster6 == 0) -> (hbusreq58 == 0 <-> busreq==0))) && ([]((hmaster0 == 1) && (hmaster1 == 1) && (hmaster2 == 0) && (hmaster3 == 1) && (hmaster4 == 1) && (hmaster5 == 1) && (hmaster6 == 0) -> (hbusreq59 == 0 <-> busreq==0))))) && ((([]((hmaster0 == 0) && (hmaster1 == 0) && (hmaster2 == 1) && (hmaster3 == 1) && (hmaster4 == 1) && (hmaster5 == 1) && (hmaster6 == 0) -> (hbusreq60 == 0 <-> busreq==0))) && ([]((hmaster0 == 1) && (hmaster1 == 0) && (hmaster2 == 1) && (hmaster3 == 1) && (hmaster4 == 1) && (hmaster5 == 1) && (hmaster6 == 0) -> (hbusreq61 == 0 <-> busreq==0)))) && (([]((hmaster0 == 0) && (hmaster1 == 1) && (hmaster2 == 1) && (hmaster3 == 1) && (hmaster4 == 1) && (hmaster5 == 1) && (hmaster6 == 0) -> (hbusreq62 == 0 <-> busreq==0))) && ([]((hmaster0 == 1) && (hmaster1 == 1) && (hmaster2 == 1) && (hmaster3 == 1) && (hmaster4 == 1) && (hmaster5 == 1) && (hmaster6 == 0) -> (hbusreq63 == 0 <-> busreq==0))))))))) && ((((((([]((hmaster0 == 0) && (hmaster1 == 0) && (hmaster2 == 0) && (hmaster3 == 0) && (hmaster4 == 0) && (hmaster5 == 0) && (hmaster6 == 1) -> (hbusreq64 == 0 <-> busreq==0))) && ([]((hmaster0 == 1) && (hmaster1 == 0) && (hmaster2 == 0) && (hmaster3 == 0) && (hmaster4 == 0) && (hmaster5 == 0) && (hmaster6 == 1) -> (hbusreq65 == 0 <-> busreq==0)))) && (([]((hmaster0 == 0) && (hmaster1 == 1) && (hmaster2 == 0) && (hmaster3 == 0) && (hmaster4 == 0) && (hmaster5 == 0) && (hmaster6 == 1) -> (hbusreq66 == 0 <-> busreq==0))) && ([]((hmaster0 == 1) && (hmaster1 == 1) && (hmaster2 == 0) && (hmaster3 == 0) && (hmaster4 == 0) && (hmaster5 == 0) && (hmaster6 == 1) -> (hbusreq67 == 0 <-> busreq==0))))) && ((([]((hmaster0 == 0) && (hmaster1 == 0) && (hmaster2 == 1) && (hmaster3 == 0) && (hmaster4 == 0) && (hmaster5 == 0) && (hmaster6 == 1) -> (hbusreq68 == 0 <-> busreq==0))) && ([]((hmaster0 == 1) && (hmaster1 == 0) && (hmaster2 == 1) && (hmaster3 == 0) && (hmaster4 == 0) && (hmaster5 == 0) && (hmaster6 == 1) -> (hbusreq69 == 0 <-> busreq==0)))) && (([]((hmaster0 == 0) && (hmaster1 == 1) && (hmaster2 == 1) && (hmaster3 == 0) && (hmaster4 == 0) && (hmaster5 == 0) && (hmaster6 == 1) -> (hbusreq70 == 0 <-> busreq==0))) && ([]((hmaster0 == 1) && (hmaster1 == 1) && (hmaster2 == 1) && (hmaster3 == 0) && (hmaster4 == 0) && (hmaster5 == 0) && (hmaster6 == 1) -> (hbusreq71 == 0 <-> busreq==0)))))) && (((([]((hmaster0 == 0) && (hmaster1 == 0) && (hmaster2 == 0) && (hmaster3 == 1) && (hmaster4 == 0) && (hmaster5 == 0) && (hmaster6 == 1) -> (hbusreq72 == 0 <-> busreq==0))) && ([]((hmaster0 == 1) && (hmaster1 == 0) && (hmaster2 == 0) && (hmaster3 == 1) && (hmaster4 == 0) && (hmaster5 == 0) && (hmaster6 == 1) -> (hbusreq73 == 0 <-> busreq==0)))) && (([]((hmaster0 == 0) && (hmaster1 == 1) && (hmaster2 == 0) && (hmaster3 == 1) && (hmaster4 == 0) && (hmaster5 == 0) && (hmaster6 == 1) -> (hbusreq74 == 0 <-> busreq==0))) && ([]((hmaster0 == 1) && (hmaster1 == 1) && (hmaster2 == 0) && (hmaster3 == 1) && (hmaster4 == 0) && (hmaster5 == 0) && (hmaster6 == 1) -> (hbusreq75 == 0 <-> busreq==0))))) && ((([]((hmaster0 == 0) && (hmaster1 == 0) && (hmaster2 == 1) && (hmaster3 == 1) && (hmaster4 == 0) && (hmaster5 == 0) && (hmaster6 == 1) -> (hbusreq76 == 0 <-> busreq==0))) && ([]((hmaster0 == 1) && (hmaster1 == 0) && (hmaster2 == 1) && (hmaster3 == 1) && (hmaster4 == 0) && (hmaster5 == 0) && (hmaster6 == 1) -> (hbusreq77 == 0 <-> busreq==0)))) && (([]((hmaster0 == 0) && (hmaster1 == 1) && (hmaster2 == 1) && (hmaster3 == 1) && (hmaster4 == 0) && (hmaster5 == 0) && (hmaster6 == 1) -> (hbusreq78 == 0 <-> busreq==0))) && ([]((hmaster0 == 1) && (hmaster1 == 1) && (hmaster2 == 1) && (hmaster3 == 1) && (hmaster4 == 0) && (hmaster5 == 0) && (hmaster6 == 1) -> (hbusreq79 == 0 <-> busreq==0))))))) && ((((([]((hmaster0 == 0) && (hmaster1 == 0) && (hmaster2 == 0) && (hmaster3 == 0) && (hmaster4 == 1) && (hmaster5 == 0) && (hmaster6 == 1) -> (hbusreq80 == 0 <-> busreq==0))) && ([](((stateA1_1 == 0) && (stateA1_0 == 0) && ((hmastlock == 0) || (hburst0 == 1) || (hburst1 == 1))) ->
 X((stateA1_1 == 0) && (stateA1_0 == 0))) && 
[](((stateA1_1 == 0) && (stateA1_0 == 0) &&  (hmastlock == 1) && (hburst0 == 0) && (hburst1 == 0)) ->
 X((stateA1_1 == 1) && (stateA1_0 == 0))) && 
[](((stateA1_1 == 1) && (stateA1_0 == 0) && (busreq == 1)) ->
 X((stateA1_1 == 1) && (stateA1_0 == 0))) && 
[](((stateA1_1 == 1) && (stateA1_0 == 0) && (busreq == 0) && ((hmastlock == 0) || (hburst0 == 1) || (hburst1 == 1))) ->
 X((stateA1_1 == 0) && (stateA1_0 == 0))) && 
[](((stateA1_1 == 1) && (stateA1_0 == 0) && (busreq == 0) &&  (hmastlock == 1) && (hburst0 == 0) && (hburst1 == 0)) ->
 X((stateA1_1 == 0) && (stateA1_0 == 1))) && 
[](((stateA1_1 == 0) && (stateA1_0 == 1) && (busreq == 1)) ->
 X((stateA1_1 == 1) && (stateA1_0 == 0))) && 
[](((stateA1_1 == 0) && (stateA1_0 == 1) &&  (hmastlock == 1) && (hburst0 == 0) && (hburst1 == 0)) ->
 X((stateA1_1 == 1) && (stateA1_0 == 0))) && 
[](((stateA1_1 == 0) && (stateA1_0 == 1) && (busreq == 0) && ((hmastlock == 0) || (hburst0 == 1) || (hburst1 == 1))) ->
 X((stateA1_1 == 0) && (stateA1_0 == 0))) && 
[]((hready == 0) -> X(start == 0)) && 
[](((stateG2 == 0) && ((hmastlock == 0) || (start == 0) || (hburst0 == 1) || (hburst1 == 1))) -> X(stateG2 == 0)) && 
[](((stateG2 == 0) &&  (hmastlock == 1) && (start == 1) && (hburst0 == 0) && (hburst1 == 0))  -> X(stateG2 == 1)) && 
[](((stateG2 == 1) && (start == 0) && (busreq == 1)) -> X(stateG2 == 1)) && 
[](((stateG2 == 1) && (start == 1)) -> false) && 
[](((stateG2 == 1) && (start == 0) && (busreq == 0)) -> X(stateG2 == 0)) && 
[](((stateG3_0 == 0) && (stateG3_1 == 0) && (stateG3_2 == 0) && 
  ((hmastlock == 0) || (start == 0) || ((hburst0 == 1) || (hburst1 == 0)))) ->
  (X(stateG3_0 == 0) && X(stateG3_1 == 0) && X(stateG3_2 == 0))) &&
[](((stateG3_0 == 0) && (stateG3_1 == 0) && (stateG3_2 == 0) && 
  ((hmastlock == 1) && (start == 1) && ((hburst0 == 0) && (hburst1 == 1)) && (hready == 0))) -> 
   (X(stateG3_0 == 1) && X(stateG3_1 == 0) && X(stateG3_2 == 0))) &&
[](((stateG3_0 == 0) && (stateG3_1 == 0) && (stateG3_2 == 0) && 
  ((hmastlock == 1) && (start == 1) && ((hburst0 == 0) && (hburst1 == 1)) && (hready == 1))) -> 
   (X(stateG3_0 == 0) && X(stateG3_1 == 1) && X(stateG3_2 == 0))) &&
 
[](((stateG3_0 == 1) && (stateG3_1 == 0) && (stateG3_2 == 0) && ((start == 0) && (hready == 0))) -> 
   (X(stateG3_0 == 1) && X(stateG3_1 == 0) && X(stateG3_2 == 0))) &&
[](((stateG3_0 == 1) && (stateG3_1 == 0) && (stateG3_2 == 0) && ((start == 0) && (hready == 1))) -> 
   (X(stateG3_0 == 0) && X(stateG3_1 == 1) && X(stateG3_2 == 0))) &&

[](((stateG3_0 == 1) && (stateG3_1 == 0) && (stateG3_2 == 0) && ((start == 1))) -> false) &&

 
[](((stateG3_0 == 0) && (stateG3_1 == 1) && (stateG3_2 == 0) && ((start == 0) && (hready == 0))) -> 
   (X(stateG3_0 == 0) && X(stateG3_1 == 1) && X(stateG3_2 == 0))) &&
[](((stateG3_0 == 0) && (stateG3_1 == 1) && (stateG3_2 == 0) && ((start == 0) && (hready == 1))) -> 
   (X(stateG3_0 == 1) && X(stateG3_1 == 1) && X(stateG3_2 == 0))) &&
[](((stateG3_0 == 0) && (stateG3_1 == 1) && (stateG3_2 == 0) && ((start == 1))) -> false) &&
 
[](((stateG3_0 == 1) && (stateG3_1 == 1) && (stateG3_2 == 0) && ((start == 0) && (hready == 0))) -> 
   (X(stateG3_0 == 1) && X(stateG3_1 == 1) && X(stateG3_2 == 0))) &&
[](((stateG3_0 == 1) && (stateG3_1 == 1) && (stateG3_2 == 0) && ((start == 0) && (hready == 1))) -> 
   (X(stateG3_0 == 0) && X(stateG3_1 == 0) && X(stateG3_2 == 1))) &&
[](((stateG3_0 == 1) && (stateG3_1 == 1) && (stateG3_2 == 0) && ((start == 1))) -> false) &&
 
[](((stateG3_0 == 0) && (stateG3_1 == 0) && (stateG3_2 == 1) && ((start == 0) && (hready == 0))) -> 
   (X(stateG3_0 == 0) && X(stateG3_1 == 0) && X(stateG3_2 == 1))) &&
[](((stateG3_0 == 0) && (stateG3_1 == 0) && (stateG3_2 == 1) && ((start == 0) && (hready == 1))) -> 
   (X(stateG3_0 == 0) && X(stateG3_1 == 0) && X(stateG3_2 == 0))) && 

